Sample	Tax	Profile	Group
Z0010	g__Blautia	0.00329594386263	GH
Z0011	g__Blautia	0.00377438732656	GH
Z0012	g__Blautia	0.00148849077667	GH
Z0013	g__Blautia	0.00728297272872	GH
Z0014	g__Blautia	0.00499707617883	GH
Z0015	g__Blautia	0.00393386848121	GH
Z0016	g__Blautia	0.0114294827495	GH
Z0017	g__Blautia	0.0252511828186	GH
C0049	g__Romboutsia	0.010313114667	HC
C0035	g__Romboutsia	0.00388070809633	HC
C0051	g__Romboutsia	0.000318962309287	HC
C0036	g__Romboutsia	0.0184466535538	HC
C0054	g__Romboutsia	0.000212641539525	HC
C0034	g__Romboutsia	0.000106320769762	HC
C0062	g__Romboutsia	0.0844186911913	HC
C0015	g__Romboutsia	5.31603848812e-05	HC
C0014	g__Romboutsia	0.00276434001382	HC
C0017	g__Romboutsia	0.00637924618574	HC
C0016	g__Romboutsia	0.00329594386263	HC
C0011	g__Romboutsia	0.000212641539525	HC
C0010	g__Romboutsia	0.000106320769762	HC
C0013	g__Romboutsia	0.0215299558769	HC
C0012	g__Romboutsia	0.00287066078358	HC
C0042	g__Romboutsia	0.00722981234384	HC
C0050	g__Romboutsia	0.0151507096911	HC
C0039	g__Romboutsia	0.0215831162618	HC
C0038	g__Romboutsia	0.00287066078358	HC
C0019	g__Romboutsia	0.0509808091011	HC
C0018	g__Romboutsia	0.00361490617192	HC
C0057	g__Romboutsia	0.0123863696773	HC
C0056	g__Romboutsia	0.0332784009356	HC
C0041	g__Romboutsia	0.00754877465313	HC
C0046	g__Romboutsia	0.00180745308596	HC
C0047	g__Romboutsia	0.00616660464622	HC
C0058	g__Romboutsia	0.0196161820212	HC
C0008	g__Romboutsia	0.0110041996704	HC
C0043	g__Romboutsia	0.00116952846739	HC
C0045	g__Romboutsia	0.00861198235075	HC
C0023	g__Romboutsia	0.00664504811015	HC
C0060	g__Romboutsia	0.00228589654989	HC
C0061	g__Romboutsia	0.00372122694168	HC
C0053	g__Romboutsia	0.000744245388337	HC
C0063	g__Romboutsia	0.0355111371006	HC
C0064	g__Romboutsia	0.0759661899952	HC
C0065	g__Romboutsia	0.0327999574717	HC
C0066	g__Romboutsia	0.0571474137473	HC
C0067	g__Romboutsia	0.0343416086332	HC
C0040	g__Romboutsia	0.041624581362	HC
C0044	g__Romboutsia	0.00122268885227	HC
C0006	g__Romboutsia	0.0	HC
C0007	g__Romboutsia	0.00297698155335	HC
C0004	g__Romboutsia	0.0	HC
C0005	g__Romboutsia	0.00303014193823	HC
C0002	g__Romboutsia	0.094412843549	HC
C0003	g__Romboutsia	0.0282813247568	HC
C0001	g__Romboutsia	0.202275264473	HC
C0024	g__Romboutsia	0.000265801924406	HC
C0025	g__Romboutsia	0.000265801924406	HC
C0026	g__Romboutsia	0.0524161394928	HC
C0027	g__Romboutsia	0.00446547233002	HC
C0020	g__Romboutsia	0.00712349157408	HC
C0021	g__Romboutsia	0.0116952846739	HC
C0022	g__Romboutsia	0.0	HC
C0009	g__Romboutsia	0.000744245388337	HC
C0052	g__Romboutsia	0.0	HC
C0033	g__Romboutsia	0.0136622189145	HC
C0048	g__Romboutsia	0.00116952846739	HC
C0032	g__Romboutsia	0.00547551964276	HC
C0037	g__Romboutsia	5.31603848812e-05	HC
C0059	g__Romboutsia	0.0261017489767	HC
C0031	g__Romboutsia	0.0017011323162	HC
C0030	g__Romboutsia	0.00823985965658	HC
C0028	g__Romboutsia	0.00776141619265	HC
C0055	g__Romboutsia	0.0122268885227	HC
C0029	g__Romboutsia	0.00138217000691	HC
Z0032	g__Romboutsia	0.000797405773218	GH
Z0021	g__Romboutsia	0.00882462389028	GH
Z0020	g__Romboutsia	0.000318962309287	GH
Z0023	g__Romboutsia	0.000956886927861	GH
Z0022	g__Romboutsia	0.000850566158099	GH
Z0025	g__Romboutsia	0.000744245388337	GH
Z0009	g__Romboutsia	0.000372122694168	GH
Z0008	g__Romboutsia	0.000531603848812	GH
Z0007	g__Romboutsia	0.00106320769762	GH
Z0006	g__Romboutsia	0.0	GH
Z0005	g__Romboutsia	0.0017011323162	GH
Z0004	g__Romboutsia	5.31603848812e-05	GH
Z0002	g__Romboutsia	0.0	GH
Z0027	g__Romboutsia	5.31603848812e-05	GH
Z0026	g__Romboutsia	0.0	GH
Z0029	g__Romboutsia	0.00207325501037	GH
Z0018	g__Romboutsia	0.0	GH
Z0019	g__Romboutsia	0.000106320769762	GH
Z0030	g__Romboutsia	0.000212641539525	GH
Z0031	g__Romboutsia	0.000265801924406	GH
Z0010	g__Romboutsia	0.00127584923715	GH
Z0011	g__Romboutsia	0.000637924618574	GH
Z0012	g__Romboutsia	0.000531603848812	GH
Z0013	g__Romboutsia	0.00180745308596	GH
Z0014	g__Romboutsia	0.000531603848812	GH
Z0015	g__Romboutsia	0.000212641539525	GH
Z0016	g__Romboutsia	5.31603848812e-05	GH
Z0017	g__Romboutsia	0.000159481154644	GH
C0049	g__Fusicatenibacter	0.00441231194514	HC
C0035	g__Fusicatenibacter	0.00202009462549	HC
C0051	g__Fusicatenibacter	0.0	HC
C0036	g__Fusicatenibacter	0.0110041996704	HC
C0054	g__Fusicatenibacter	0.0185529743235	HC
C0034	g__Fusicatenibacter	0.0	HC
C0062	g__Fusicatenibacter	0.0136090585296	HC
C0015	g__Fusicatenibacter	0.0	HC
C0014	g__Fusicatenibacter	0.0017011323162	HC
C0017	g__Fusicatenibacter	0.00632608580086	HC
C0016	g__Fusicatenibacter	0.00584764233693	HC
C0011	g__Fusicatenibacter	0.0650683110946	HC
C0010	g__Fusicatenibacter	0.0139280208389	HC
C0013	g__Fusicatenibacter	0.0231247674233	HC
C0012	g__Fusicatenibacter	0.0106852373611	HC
C0042	g__Fusicatenibacter	0.0273775982138	HC
C0050	g__Fusicatenibacter	0.0073361331136	HC
C0039	g__Fusicatenibacter	0.00372122694168	HC
C0038	g__Fusicatenibacter	0.0112700015948	HC
C0019	g__Fusicatenibacter	0.00930306735421	HC
C0018	g__Fusicatenibacter	0.005369198873	HC
C0057	g__Fusicatenibacter	0.00946254850885	HC
C0056	g__Fusicatenibacter	0.0	HC
C0041	g__Fusicatenibacter	0.0178087289352	HC
C0046	g__Fusicatenibacter	0.00542235925788	HC
C0047	g__Fusicatenibacter	0.00473127425443	HC
C0058	g__Fusicatenibacter	0.0	HC
C0008	g__Fusicatenibacter	0.00627292541598	HC
C0043	g__Fusicatenibacter	0.005369198873	HC
C0045	g__Fusicatenibacter	0.0149380681516	HC
C0023	g__Fusicatenibacter	0.0081866992717	HC
C0060	g__Fusicatenibacter	0.0713943968954	HC
C0061	g__Fusicatenibacter	0.0	HC
C0053	g__Fusicatenibacter	0.00233905693477	HC
C0063	g__Fusicatenibacter	0.0	HC
C0064	g__Fusicatenibacter	0.0968582212535	HC
C0065	g__Fusicatenibacter	0.0236563712721	HC
C0066	g__Fusicatenibacter	0.00808037850194	HC
C0067	g__Fusicatenibacter	0.00313646270799	HC
C0040	g__Fusicatenibacter	0.0138217000691	HC
C0044	g__Fusicatenibacter	0.0	HC
C0006	g__Fusicatenibacter	0.0236563712721	HC
C0007	g__Fusicatenibacter	0.00866514273563	HC
C0004	g__Fusicatenibacter	0.00691085003455	HC
C0005	g__Fusicatenibacter	0.00552868002764	HC
C0002	g__Fusicatenibacter	0.0104725958216	HC
C0003	g__Fusicatenibacter	0.012067407368	HC
C0001	g__Fusicatenibacter	0.000372122694168	HC
C0024	g__Fusicatenibacter	0.00202009462549	HC
C0025	g__Fusicatenibacter	0.0	HC
C0026	g__Fusicatenibacter	0.0138217000691	HC
C0027	g__Fusicatenibacter	0.00116952846739	HC
C0020	g__Fusicatenibacter	0.0104194354367	HC
C0021	g__Fusicatenibacter	0.00616660464622	HC
C0022	g__Fusicatenibacter	0.0225400031896	HC
C0009	g__Fusicatenibacter	0.00606028387646	HC
C0052	g__Fusicatenibacter	0.0127584923715	HC
C0033	g__Fusicatenibacter	0.00930306735421	HC
C0048	g__Fusicatenibacter	0.0164797193132	HC
C0032	g__Fusicatenibacter	0.000797405773218	HC
C0037	g__Fusicatenibacter	0.0768699165382	HC
C0059	g__Fusicatenibacter	0.0660251980224	HC
C0031	g__Fusicatenibacter	0.00297698155335	HC
C0030	g__Fusicatenibacter	0.00839934081123	HC
C0028	g__Fusicatenibacter	0.0162139173888	HC
C0055	g__Fusicatenibacter	0.000265801924406	HC
C0029	g__Fusicatenibacter	5.31603848812e-05	HC
Z0032	g__Fusicatenibacter	0.000265801924406	GH
Z0021	g__Fusicatenibacter	0.0	GH
Z0020	g__Fusicatenibacter	0.00164797193132	GH
Z0023	g__Fusicatenibacter	0.00669820849503	GH
Z0022	g__Fusicatenibacter	0.00138217000691	GH
Z0025	g__Fusicatenibacter	0.000212641539525	GH
Z0009	g__Fusicatenibacter	0.00292382116847	GH
Z0008	g__Fusicatenibacter	0.00239221731965	GH
Z0007	g__Fusicatenibacter	0.0	GH
Z0006	g__Fusicatenibacter	0.00823985965658	GH
Z0005	g__Fusicatenibacter	0.00132900962203	GH
Z0004	g__Fusicatenibacter	0.00382754771145	GH
Z0002	g__Fusicatenibacter	0.000797405773218	GH
Z0027	g__Fusicatenibacter	0.000318962309287	GH
Z0026	g__Fusicatenibacter	0.0	GH
Z0029	g__Fusicatenibacter	0.000212641539525	GH
Z0018	g__Fusicatenibacter	0.000531603848812	GH
Z0019	g__Fusicatenibacter	0.00212641539525	GH
Z0030	g__Fusicatenibacter	0.000372122694168	GH
Z0031	g__Fusicatenibacter	0.00425283079049	GH
Z0010	g__Fusicatenibacter	0.00175429270108	GH
Z0011	g__Fusicatenibacter	0.00228589654989	GH
Z0012	g__Fusicatenibacter	0.00090372654298	GH
Z0013	g__Fusicatenibacter	0.0062197650311	GH
Z0014	g__Fusicatenibacter	0.00691085003455	GH
Z0015	g__Fusicatenibacter	0.00356174578704	GH
Z0016	g__Fusicatenibacter	0.00122268885227	GH
Z0017	g__Fusicatenibacter	0.0070703311892	GH
C0049	g__Streptococcus	5.31603848812e-05	HC
C0035	g__Streptococcus	0.000478443463931	HC
C0051	g__Streptococcus	0.000265801924406	HC
C0036	g__Streptococcus	0.0108447185158	HC
C0054	g__Streptococcus	0.00457179309978	HC
C0034	g__Streptococcus	0.00637924618574	HC
C0062	g__Streptococcus	0.00494391579395	HC
C0015	g__Streptococcus	0.000425283079049	HC
C0014	g__Streptococcus	0.146722662272	HC
C0017	g__Streptococcus	0.000425283079049	HC
C0016	g__Streptococcus	0.000691085003455	HC
C0011	g__Streptococcus	0.0145127850726	HC
C0010	g__Streptococcus	0.00542235925788	HC
C0013	g__Streptococcus	0.00207325501037	HC
C0012	g__Streptococcus	0.00308330232311	HC
C0042	g__Streptococcus	0.00217957578013	HC
C0050	g__Streptococcus	0.00292382116847	HC
C0039	g__Streptococcus	0.0148849077667	HC
C0038	g__Streptococcus	0.000744245388337	HC
C0019	g__Streptococcus	0.00489075540907	HC
C0018	g__Streptococcus	0.0017011323162	HC
C0057	g__Streptococcus	0.00138217000691	HC
C0056	g__Streptococcus	0.00834618042635	HC
C0041	g__Streptococcus	0.000318962309287	HC
C0046	g__Streptococcus	0.00233905693477	HC
C0047	g__Streptococcus	0.00143533039179	HC
C0058	g__Streptococcus	0.0215299558769	HC
C0008	g__Streptococcus	0.000106320769762	HC
C0043	g__Streptococcus	0.0337036840147	HC
C0045	g__Streptococcus	0.00462495348466	HC
C0023	g__Streptococcus	0.00212641539525	HC
C0060	g__Streptococcus	0.00223273616501	HC
C0061	g__Streptococcus	0.069799585349	HC
C0053	g__Streptococcus	0.00494391579395	HC
C0063	g__Streptococcus	0.00515655733348	HC
C0064	g__Streptococcus	0.0025516984743	HC
C0065	g__Streptococcus	0.000850566158099	HC
C0066	g__Streptococcus	0.00393386848121	HC
C0067	g__Streptococcus	0.00138217000691	HC
C0040	g__Streptococcus	0.000850566158099	HC
C0044	g__Streptococcus	0.000159481154644	HC
C0006	g__Streptococcus	0.00132900962203	HC
C0007	g__Streptococcus	0.000318962309287	HC
C0004	g__Streptococcus	0.00393386848121	HC
C0005	g__Streptococcus	0.00377438732656	HC
C0002	g__Streptococcus	0.0207325501037	HC
C0003	g__Streptococcus	0.000159481154644	HC
C0001	g__Streptococcus	0.00606028387646	HC
C0024	g__Streptococcus	0.000212641539525	HC
C0025	g__Streptococcus	5.31603848812e-05	HC
C0026	g__Streptococcus	0.0617723672319	HC
C0027	g__Streptococcus	0.0011163680825	HC
C0020	g__Streptococcus	0.0139811812238	HC
C0021	g__Streptococcus	0.00382754771145	HC
C0022	g__Streptococcus	0.264526075169	HC
C0009	g__Streptococcus	0.00143533039179	HC
C0052	g__Streptococcus	0.00212641539525	HC
C0033	g__Streptococcus	0.00127584923715	HC
C0048	g__Streptococcus	0.00159481154644	HC
C0032	g__Streptococcus	0.000159481154644	HC
C0037	g__Streptococcus	0.00419967040561	HC
C0059	g__Streptococcus	0.00940938812397	HC
C0031	g__Streptococcus	0.00143533039179	HC
C0030	g__Streptococcus	0.00212641539525	HC
C0028	g__Streptococcus	0.0162139173888	HC
C0055	g__Streptococcus	0.00239221731965	HC
C0029	g__Streptococcus	0.000318962309287	HC
Z0032	g__Streptococcus	0.000372122694168	GH
Z0021	g__Streptococcus	0.0306203816916	GH
Z0020	g__Streptococcus	0.000159481154644	GH
Z0023	g__Streptococcus	0.000265801924406	GH
Z0022	g__Streptococcus	0.000159481154644	GH
Z0025	g__Streptococcus	0.00186061347084	GH
Z0009	g__Streptococcus	0.000265801924406	GH
Z0008	g__Streptococcus	5.31603848812e-05	GH
Z0007	g__Streptococcus	0.000372122694168	GH
Z0006	g__Streptococcus	0.00462495348466	GH
Z0005	g__Streptococcus	0.0	GH
Z0004	g__Streptococcus	0.000691085003455	GH
Z0002	g__Streptococcus	0.00175429270108	GH
Z0027	g__Streptococcus	0.0	GH
Z0026	g__Streptococcus	0.00175429270108	GH
Z0029	g__Streptococcus	5.31603848812e-05	GH
Z0018	g__Streptococcus	0.00191377385572	GH
Z0019	g__Streptococcus	5.31603848812e-05	GH
Z0030	g__Streptococcus	0.000531603848812	GH
Z0031	g__Streptococcus	0.000797405773218	GH
Z0010	g__Streptococcus	0.0	GH
Z0011	g__Streptococcus	0.000318962309287	GH
Z0012	g__Streptococcus	0.000372122694168	GH
Z0013	g__Streptococcus	0.0	GH
Z0014	g__Streptococcus	0.0101004731274	GH
Z0015	g__Streptococcus	0.000106320769762	GH
Z0016	g__Streptococcus	0.00180745308596	GH
Z0017	g__Streptococcus	0.000106320769762	GH
C0049	g__Anaerostipes	0.00154165116155	HC
C0035	g__Anaerostipes	0.00101004731274	HC
C0051	g__Anaerostipes	0.000106320769762	HC
C0036	g__Anaerostipes	0.0295571739939	HC
C0054	g__Anaerostipes	0.031311466695	HC
C0034	g__Anaerostipes	0.0025516984743	HC
C0062	g__Anaerostipes	0.00186061347084	HC
C0015	g__Anaerostipes	0.00388070809633	HC
C0014	g__Anaerostipes	0.000265801924406	HC
C0017	g__Anaerostipes	0.00813353888682	HC
C0016	g__Anaerostipes	0.0106320769762	HC
C0011	g__Anaerostipes	0.0336505236298	HC
C0010	g__Anaerostipes	0.02014778587	HC
C0013	g__Anaerostipes	0.00292382116847	HC
C0012	g__Anaerostipes	0.00159481154644	HC
C0042	g__Anaerostipes	0.0387007601935	HC
C0050	g__Anaerostipes	0.00122268885227	HC
C0039	g__Anaerostipes	0.00223273616501	HC
C0038	g__Anaerostipes	0.00356174578704	HC
C0019	g__Anaerostipes	0.0226463239594	HC
C0018	g__Anaerostipes	0.0169581627771	HC
C0057	g__Anaerostipes	0.0164265589283	HC
C0056	g__Anaerostipes	0.0064855669555	HC
C0041	g__Anaerostipes	0.00435915156026	HC
C0046	g__Anaerostipes	0.0167986816225	HC
C0047	g__Anaerostipes	0.00159481154644	HC
C0058	g__Anaerostipes	0.0207325501037	HC
C0008	g__Anaerostipes	0.00435915156026	HC
C0043	g__Anaerostipes	0.00446547233002	HC
C0045	g__Anaerostipes	0.00228589654989	HC
C0023	g__Anaerostipes	0.116102280581	HC
C0060	g__Anaerostipes	0.0098878315879	HC
C0061	g__Anaerostipes	5.31603848812e-05	HC
C0053	g__Anaerostipes	0.00191377385572	HC
C0063	g__Anaerostipes	0.0	HC
C0064	g__Anaerostipes	0.0150975493063	HC
C0065	g__Anaerostipes	0.0174897666259	HC
C0066	g__Anaerostipes	0.00090372654298	HC
C0067	g__Anaerostipes	0.00090372654298	HC
C0040	g__Anaerostipes	0.00419967040561	HC
C0044	g__Anaerostipes	0.0130774546808	HC
C0006	g__Anaerostipes	0.00887778427516	HC
C0007	g__Anaerostipes	0.0204135877944	HC
C0004	g__Anaerostipes	0.000744245388337	HC
C0005	g__Anaerostipes	0.00292382116847	HC
C0002	g__Anaerostipes	0.00212641539525	HC
C0003	g__Anaerostipes	0.000159481154644	HC
C0001	g__Anaerostipes	0.0	HC
C0024	g__Anaerostipes	0.000637924618574	HC
C0025	g__Anaerostipes	5.31603848812e-05	HC
C0026	g__Anaerostipes	0.00956886927861	HC
C0027	g__Anaerostipes	0.00122268885227	HC
C0020	g__Anaerostipes	0.022805805114	HC
C0021	g__Anaerostipes	0.00350858540216	HC
C0022	g__Anaerostipes	0.102121099357	HC
C0009	g__Anaerostipes	0.00467811386954	HC
C0052	g__Anaerostipes	0.0139280208389	HC
C0033	g__Anaerostipes	0.0025516984743	HC
C0048	g__Anaerostipes	0.00441231194514	HC
C0032	g__Anaerostipes	0.000212641539525	HC
C0037	g__Anaerostipes	0.0257827866674	HC
C0059	g__Anaerostipes	0.0237626920419	HC
C0031	g__Anaerostipes	0.00233905693477	HC
C0030	g__Anaerostipes	0.0557120833555	HC
C0028	g__Anaerostipes	0.0146722662272	HC
C0055	g__Anaerostipes	0.000850566158099	HC
C0029	g__Anaerostipes	0.0028175003987	HC
Z0032	g__Anaerostipes	0.0	GH
Z0021	g__Anaerostipes	0.0	GH
Z0020	g__Anaerostipes	0.000212641539525	GH
Z0023	g__Anaerostipes	0.00388070809633	GH
Z0022	g__Anaerostipes	0.000212641539525	GH
Z0025	g__Anaerostipes	0.00260485885918	GH
Z0009	g__Anaerostipes	0.000531603848812	GH
Z0008	g__Anaerostipes	0.00127584923715	GH
Z0007	g__Anaerostipes	0.000106320769762	GH
Z0006	g__Anaerostipes	0.00318962309287	GH
Z0005	g__Anaerostipes	0.000106320769762	GH
Z0004	g__Anaerostipes	0.000159481154644	GH
Z0002	g__Anaerostipes	5.31603848812e-05	GH
Z0027	g__Anaerostipes	5.31603848812e-05	GH
Z0026	g__Anaerostipes	0.000425283079049	GH
Z0029	g__Anaerostipes	0.0	GH
Z0018	g__Anaerostipes	0.000212641539525	GH
Z0019	g__Anaerostipes	0.000797405773218	GH
Z0030	g__Anaerostipes	0.0	GH
Z0031	g__Anaerostipes	0.000372122694168	GH
Z0010	g__Anaerostipes	0.000212641539525	GH
Z0011	g__Anaerostipes	0.000106320769762	GH
Z0012	g__Anaerostipes	0.0	GH
Z0013	g__Anaerostipes	0.000106320769762	GH
Z0014	g__Anaerostipes	0.000212641539525	GH
Z0015	g__Anaerostipes	0.000159481154644	GH
Z0016	g__Anaerostipes	0.000159481154644	GH
Z0017	g__Anaerostipes	0.00159481154644	GH
C0049	g__Oscillibacter	0.021902078571	HC
C0035	g__Oscillibacter	0.000478443463931	HC
C0051	g__Oscillibacter	0.0	HC
C0036	g__Oscillibacter	0.000106320769762	HC
C0054	g__Oscillibacter	0.00143533039179	HC
C0034	g__Oscillibacter	5.31603848812e-05	HC
C0062	g__Oscillibacter	0.0045186327149	HC
C0015	g__Oscillibacter	5.31603848812e-05	HC
C0014	g__Oscillibacter	0.0098878315879	HC
C0017	g__Oscillibacter	0.00106320769762	HC
C0016	g__Oscillibacter	0.0017011323162	HC
C0011	g__Oscillibacter	0.000159481154644	HC
C0010	g__Oscillibacter	0.00132900962203	HC
C0013	g__Oscillibacter	0.00191377385572	HC
C0012	g__Oscillibacter	0.000691085003455	HC
C0042	g__Oscillibacter	0.000159481154644	HC
C0050	g__Oscillibacter	0.00584764233693	HC
C0039	g__Oscillibacter	0.000212641539525	HC
C0038	g__Oscillibacter	0.0028175003987	HC
C0019	g__Oscillibacter	0.00191377385572	HC
C0018	g__Oscillibacter	0.0017011323162	HC
C0057	g__Oscillibacter	0.0368933071075	HC
C0056	g__Oscillibacter	0.0	HC
C0041	g__Oscillibacter	0.00308330232311	HC
C0046	g__Oscillibacter	0.000744245388337	HC
C0047	g__Oscillibacter	0.016107596619	HC
C0058	g__Oscillibacter	0.00090372654298	HC
C0008	g__Oscillibacter	0.00909042581468	HC
C0043	g__Oscillibacter	0.00505023656371	HC
C0045	g__Oscillibacter	0.0163733985434	HC
C0023	g__Oscillibacter	0.0	HC
C0060	g__Oscillibacter	0.000106320769762	HC
C0061	g__Oscillibacter	0.000797405773218	HC
C0053	g__Oscillibacter	0.0090372654298	HC
C0063	g__Oscillibacter	0.0	HC
C0064	g__Oscillibacter	0.0	HC
C0065	g__Oscillibacter	0.0105789165914	HC
C0066	g__Oscillibacter	0.0122800489076	HC
C0067	g__Oscillibacter	0.00786773696242	HC
C0040	g__Oscillibacter	0.00419967040561	HC
C0044	g__Oscillibacter	0.00239221731965	HC
C0006	g__Oscillibacter	0.00271117962894	HC
C0007	g__Oscillibacter	0.000850566158099	HC
C0004	g__Oscillibacter	0.000318962309287	HC
C0005	g__Oscillibacter	0.0090372654298	HC
C0002	g__Oscillibacter	0.00398702886609	HC
C0003	g__Oscillibacter	0.00287066078358	HC
C0001	g__Oscillibacter	0.0	HC
C0024	g__Oscillibacter	0.00228589654989	HC
C0025	g__Oscillibacter	0.00191377385572	HC
C0026	g__Oscillibacter	0.000478443463931	HC
C0027	g__Oscillibacter	0.0034022646324	HC
C0020	g__Oscillibacter	0.0118547658285	HC
C0021	g__Oscillibacter	0.0127053319866	HC
C0022	g__Oscillibacter	0.000265801924406	HC
C0009	g__Oscillibacter	0.00457179309978	HC
C0052	g__Oscillibacter	0.00749561426825	HC
C0033	g__Oscillibacter	0.0	HC
C0048	g__Oscillibacter	0.00361490617192	HC
C0032	g__Oscillibacter	0.00441231194514	HC
C0037	g__Oscillibacter	0.00308330232311	HC
C0059	g__Oscillibacter	0.00101004731274	HC
C0031	g__Oscillibacter	0.0017011323162	HC
C0030	g__Oscillibacter	0.000531603848812	HC
C0028	g__Oscillibacter	0.00382754771145	HC
C0055	g__Oscillibacter	0.0229121258838	HC
C0029	g__Oscillibacter	0.0133432566052	HC
Z0032	g__Oscillibacter	0.00446547233002	GH
Z0021	g__Oscillibacter	0.000318962309287	GH
Z0020	g__Oscillibacter	0.0150443889214	GH
Z0023	g__Oscillibacter	0.00563500079741	GH
Z0022	g__Oscillibacter	0.136037424911	GH
Z0025	g__Oscillibacter	0.00999415235766	GH
Z0009	g__Oscillibacter	0.0244006166605	GH
Z0008	g__Oscillibacter	0.00696401041944	GH
Z0007	g__Oscillibacter	0.00276434001382	GH
Z0006	g__Oscillibacter	0.000637924618574	GH
Z0005	g__Oscillibacter	0.00940938812397	GH
Z0004	g__Oscillibacter	0.0120142469831	GH
Z0002	g__Oscillibacter	0.000744245388337	GH
Z0027	g__Oscillibacter	0.00829302004147	GH
Z0026	g__Oscillibacter	5.31603848812e-05	GH
Z0029	g__Oscillibacter	0.0705438307373	GH
Z0018	g__Oscillibacter	0.00132900962203	GH
Z0019	g__Oscillibacter	0.00398702886609	GH
Z0030	g__Oscillibacter	0.00457179309978	GH
Z0031	g__Oscillibacter	0.0155759927702	GH
Z0010	g__Oscillibacter	0.00728297272872	GH
Z0011	g__Oscillibacter	0.00882462389028	GH
Z0012	g__Oscillibacter	0.0139811812238	GH
Z0013	g__Oscillibacter	0.0124395300622	GH
Z0014	g__Oscillibacter	0.0660783584073	GH
Z0015	g__Oscillibacter	0.0245600978151	GH
Z0016	g__Oscillibacter	0.00430599117538	GH
