Taxon	C0045	C0062	Z0009	C0002	C0039	C0023	C0010	C0064	C0055	C0001	C0029	C0013	C0059	C0051	C0033	C0054	C0052	C0040	C0060	C0016	C0026	C0011	C0020	C0037	C0006	C0058	C0065	C0005	C0036	C0044	Z0017	C0041	C0007	C0050	C0004	C0043	C0066	C0048	C0027	C0031	C0025	C0047	C0061	C0014	C0056	C0019	C0018	C0053	C0042	Z0005	C0012	C0009	C0057	C0067	C0038	C0049	C0024	C0030	Z0022	C0034	Z0025	Z0016	Z0014	C0003	Z0027	C0032	C0028	C0046	C0017	Z0013	C0035	Z0029	Z0004	C0021	Z0006	Z0023	Z0020	Z0010	Z0015	C0022	Z0031	Z0011	Z0019	C0008	Z0008	Z0030	Z0012	C0015	Z0007	Z0018	Z0032	Z0002	Z0021	C0063	Z0026
g__Saccharibacteria_genera_incertae_sedis	0.000318962309287	0.00154165116155	0.0	0.000159481154644	0.00292382116847	0.0011163680825	0.000212641539525	0.000478443463931	0.000318962309287	0.00223273616501	5.31603848812e-05	0.000478443463931	0.000372122694168	0.000265801924406	0.0	0.000318962309287	0.000425283079049	0.000159481154644	0.00239221731965	0.000106320769762	0.00313646270799	0.00175429270108	0.000106320769762	0.0011163680825	0.000106320769762	0.000106320769762	0.00143533039179	0.000637924618574	0.000318962309287	0.000159481154644	0.0	0.0	0.000106320769762	0.0	0.000531603848812	0.0	5.31603848812e-05	5.31603848812e-05	0.000106320769762	0.0	0.000159481154644	0.000106320769762	5.31603848812e-05	0.000159481154644	0.0011163680825	0.000106320769762	0.0	0.000637924618574	0.000159481154644	5.31603848812e-05	0.000106320769762	5.31603848812e-05	0.000744245388337	0.0011163680825	5.31603848812e-05	0.0	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.000318962309287	0.0	0.0	0.0	0.0	0.0	0.0	0.000425283079049	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.000212641539525	0.0	5.31603848812e-05	0.000106320769762	5.31603848812e-05	0.000106320769762	0.00106320769762	5.31603848812e-05	0.0	0.000106320769762	5.31603848812e-05	0.000106320769762	0.0	0.0	0.000691085003455	0.000106320769762	5.31603848812e-05	5.31603848812e-05	0.000212641539525	0.000584764233693	0.000637924618574	0.000106320769762
g__Gemella	0.000106320769762	0.000318962309287	0.0	0.000212641539525	0.000265801924406	0.000106320769762	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.000584764233693	0.0	0.000159481154644	0.000265801924406	0.0	5.31603848812e-05	0.000265801924406	0.000159481154644	0.0	0.000318962309287	5.31603848812e-05	0.000159481154644	0.000159481154644	0.000212641539525	0.000159481154644	0.0	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.0	0.0	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.000106320769762	0.000106320769762	0.0	0.000106320769762	0.0	0.000159481154644	0.0	0.000318962309287	0.000159481154644	0.0	0.0	5.31603848812e-05	0.0	0.000159481154644	0.0	0.0	0.0	0.000106320769762	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.000159481154644	0.0	0.0	0.00090372654298	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.000850566158099	0.0	0.0	0.0	0.000106320769762	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.0	0.000106320769762	0.0	0.0	0.000106320769762	0.000159481154644	5.31603848812e-05
g__Granulicatella	0.000106320769762	0.000212641539525	0.0	0.000478443463931	0.000478443463931	0.000425283079049	0.000159481154644	0.0	5.31603848812e-05	0.00233905693477	0.0	0.000106320769762	0.000159481154644	5.31603848812e-05	0.0	0.000106320769762	0.0	5.31603848812e-05	0.000531603848812	0.0	0.000584764233693	0.000318962309287	0.000159481154644	0.000106320769762	0.0	0.0	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.0	0.0	0.000159481154644	0.000425283079049	0.000318962309287	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.000265801924406	5.31603848812e-05	5.31603848812e-05	0.000265801924406	0.000159481154644	5.31603848812e-05	0.0	0.0	0.000159481154644	0.000159481154644	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	0.000212641539525	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.0	0.0	0.000106320769762	5.31603848812e-05	0.0	0.0	0.0	0.0	0.00090372654298	0.0	0.0	0.0	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.0	0.000106320769762	0.0	0.000106320769762	0.000159481154644	0.000637924618574	0.000106320769762
g__Weissella	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000691085003455	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.000159481154644	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.000106320769762	0.000212641539525	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000159481154644	0.0	0.0	0.0757003880708	0.0	0.0
g__Streptococcus	0.00462495348466	0.00494391579395	0.000265801924406	0.0207325501037	0.0148849077667	0.00212641539525	0.00542235925788	0.0025516984743	0.00239221731965	0.00606028387646	0.000318962309287	0.00207325501037	0.00940938812397	0.000265801924406	0.00127584923715	0.00457179309978	0.00212641539525	0.000850566158099	0.00223273616501	0.000691085003455	0.0617723672319	0.0145127850726	0.0139811812238	0.00419967040561	0.00132900962203	0.0215299558769	0.000850566158099	0.00377438732656	0.0108447185158	0.000159481154644	0.000106320769762	0.000318962309287	0.000318962309287	0.00292382116847	0.00393386848121	0.0337036840147	0.00393386848121	0.00159481154644	0.0011163680825	0.00143533039179	5.31603848812e-05	0.00143533039179	0.069799585349	0.146722662272	0.00834618042635	0.00489075540907	0.0017011323162	0.00494391579395	0.00217957578013	0.0	0.00308330232311	0.00143533039179	0.00138217000691	0.00138217000691	0.000744245388337	5.31603848812e-05	0.000212641539525	0.00212641539525	0.000159481154644	0.00637924618574	0.00186061347084	0.00180745308596	0.0101004731274	0.000159481154644	0.0	0.000159481154644	0.0162139173888	0.00233905693477	0.000425283079049	0.0	0.000478443463931	5.31603848812e-05	0.000691085003455	0.00382754771145	0.00462495348466	0.000265801924406	0.000159481154644	0.0	0.000106320769762	0.264526075169	0.000797405773218	0.000318962309287	5.31603848812e-05	0.000106320769762	5.31603848812e-05	0.000531603848812	0.000372122694168	0.000425283079049	0.000372122694168	0.00191377385572	0.000372122694168	0.00175429270108	0.0306203816916	0.00515655733348	0.00175429270108
g__Clostridium_sensu_stricto	0.0011163680825	0.00441231194514	0.00127584923715	0.0297698155335	0.0204135877944	0.0667694434108	0.0	0.0425283079049	0.000637924618574	0.101111052044	0.000850566158099	0.000265801924406	0.000850566158099	0.000159481154644	0.0	0.000318962309287	0.000159481154644	0.00154165116155	0.00590080272181	0.00090372654298	0.00930306735421	0.0	0.00345542501728	0.0	0.0	0.000372122694168	0.00154165116155	0.00329594386263	0.000212641539525	0.0	0.000478443463931	0.00244537770453	0.00813353888682	0.00494391579395	5.31603848812e-05	0.00202009462549	0.0104725958216	0.000212641539525	0.00446547233002	0.00228589654989	0.000425283079049	0.00217957578013	0.00558184041252	0.00090372654298	0.00398702886609	0.0340758067088	0.00244537770453	0.00632608580086	0.0	0.000797405773218	0.0034022646324	0.000318962309287	0.000744245388337	0.000850566158099	0.000159481154644	0.00191377385572	0.0	0.000159481154644	5.31603848812e-05	0.0036680665568	0.000159481154644	0.000478443463931	0.000584764233693	0.0105789165914	0.000318962309287	0.000744245388337	0.0996225612673	0.000744245388337	0.00202009462549	0.000159481154644	0.0115358035192	0.0	0.000850566158099	0.00563500079741	0.00489075540907	0.00143533039179	0.000159481154644	5.31603848812e-05	0.0	5.31603848812e-05	0.000212641539525	0.000159481154644	0.0	0.0	0.0	0.000106320769762	0.000425283079049	0.0	0.0	0.0	0.0	0.000159481154644	0.0136622189145	0.0293445324544	0.0
g__Eubacterium	5.31603848812e-05	0.0	5.31603848812e-05	5.31603848812e-05	0.000159481154644	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.000584764233693	5.31603848812e-05	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.000425283079049	5.31603848812e-05	0.000106320769762	0.0	0.0	0.000531603848812	0.000212641539525	0.000265801924406	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.000212641539525	0.0	0.0	5.31603848812e-05	0.0	0.0	0.00101004731274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000159481154644	0.000212641539525	0.0
g__Anaerostipes	0.00228589654989	0.00186061347084	0.000531603848812	0.00212641539525	0.00223273616501	0.116102280581	0.02014778587	0.0150975493063	0.000850566158099	0.0	0.0028175003987	0.00292382116847	0.0237626920419	0.000106320769762	0.0025516984743	0.031311466695	0.0139280208389	0.00419967040561	0.0098878315879	0.0106320769762	0.00956886927861	0.0336505236298	0.022805805114	0.0257827866674	0.00887778427516	0.0207325501037	0.0174897666259	0.00292382116847	0.0295571739939	0.0130774546808	0.00159481154644	0.00435915156026	0.0204135877944	0.00122268885227	0.000744245388337	0.00446547233002	0.00090372654298	0.00441231194514	0.00122268885227	0.00233905693477	5.31603848812e-05	0.00159481154644	5.31603848812e-05	0.000265801924406	0.0064855669555	0.0226463239594	0.0169581627771	0.00191377385572	0.0387007601935	0.000106320769762	0.00159481154644	0.00467811386954	0.0164265589283	0.00090372654298	0.00356174578704	0.00154165116155	0.000637924618574	0.0557120833555	0.000212641539525	0.0025516984743	0.00260485885918	0.000159481154644	0.000212641539525	0.000159481154644	5.31603848812e-05	0.000212641539525	0.0146722662272	0.0167986816225	0.00813353888682	0.000106320769762	0.00101004731274	0.0	0.000159481154644	0.00350858540216	0.00318962309287	0.00388070809633	0.000212641539525	0.000212641539525	0.000159481154644	0.102121099357	0.000372122694168	0.000106320769762	0.000797405773218	0.00435915156026	0.00127584923715	0.0	0.0	0.00388070809633	0.000106320769762	0.000212641539525	0.0	5.31603848812e-05	0.0	0.0	0.000425283079049
g__Blautia	0.0493328371697	0.0694274626548	0.00435915156026	0.0319493913136	0.108287704003	0.0278028812929	0.0747435011429	0.019669342406	0.0115889639041	0.0590080272181	0.0305672213067	0.060390197225	0.428579022912	0.00659188772527	0.016107596619	0.0559778852799	0.0522034979533	0.0449736856095	0.398915528148	0.0592206687576	0.148955398437	0.294721173781	0.0519376960289	0.0959544947105	0.070703311892	0.184200733613	0.13189091489	0.0699059061188	0.0525224602626	0.0369996278773	0.0252511828186	0.0392855244272	0.0742118972941	0.0173834458561	0.0519376960289	0.0318430705438	0.0332252405507	0.0140875019935	0.0189250970177	0.0251448620488	0.00260485885918	0.0130242942959	0.0984530328	0.010313114667	0.0740524161395	0.101430014353	0.0417309021317	0.0130242942959	0.159427994259	0.00287066078358	0.0140343416086	0.0366275051831	0.0205199085641	0.0965924193291	0.0224868428047	0.0181808516294	0.0242411355058	0.0273775982138	0.00441231194514	0.0367869863378	0.015203870076	0.0114294827495	0.00499707617883	0.00999415235766	0.00116952846739	0.0070703311892	0.0317899101589	0.0180745308596	0.0158417946946	0.00728297272872	0.0125990112168	0.00457179309978	0.00823985965658	0.0241879751209	0.0129179735261	0.00590080272181	0.00186061347084	0.00329594386263	0.00393386848121	0.0311519855404	0.00303014193823	0.00377438732656	0.00568816118229	0.0159481154644	0.00207325501037	0.00308330232311	0.00148849077667	5.31603848812e-05	0.00276434001382	0.00180745308596	0.000637924618574	0.00127584923715	5.31603848812e-05	0.00202009462549	0.000850566158099
g__Dorea	0.00473127425443	0.00728297272872	0.00292382116847	0.00887778427516	0.0350858540216	0.00813353888682	0.0213704747222	0.000956886927861	0.00765509542289	0.0209983520281	0.00898410504492	0.00372122694168	0.00972835043326	0.00552868002764	0.00738929349848	0.0139811812238	0.00808037850194	0.0045186327149	0.00770825580777	0.00180745308596	0.0240816543512	0.0284939662963	0.0144064643028	0.0112168412099	0.00584764233693	0.0101004731274	0.0106852373611	0.00866514273563	0.0119610865983	0.00324278347775	0.00233905693477	0.00574132156717	0.00786773696242	0.00313646270799	0.0225931635745	0.00297698155335	0.00924990696933	0.00217957578013	0.0036680665568	0.000691085003455	0.000797405773218	0.00143533039179	0.00361490617192	0.0062197650311	0.00526287810324	0.00829302004147	0.0147254266121	0.0139280208389	0.0172239647015	0.00132900962203	0.00584764233693	0.00685768964967	0.0189782574026	0.0123863696773	0.00308330232311	0.0025516984743	0.0019669342406	0.00855882196587	0.000744245388337	0.0136622189145	0.000691085003455	0.0	0.00175429270108	0.00441231194514	0.000584764233693	0.00276434001382	0.0153633512307	0.00116952846739	0.00292382116847	0.00148849077667	0.00292382116847	0.00303014193823	0.00122268885227	0.00489075540907	0.00212641539525	0.00116952846739	0.00186061347084	0.0011163680825	0.000531603848812	0.0402424113551	0.00260485885918	0.000797405773218	0.00249853808942	0.00685768964967	0.000691085003455	0.00138217000691	0.000584764233693	5.31603848812e-05	0.000691085003455	0.00148849077667	0.00116952846739	0.000318962309287	0.000159481154644	0.00430599117538	0.00834618042635
