# /data_center_03/USER/chenj/Biosoft/python2/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'none', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': '/data_center_14/Project/likk/meta/RYY20191227B055_zhangyc/2nd/add_analysis/03.fishtaco/Z-N-new/ko00770/fishtaco', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': '/data_center_14/Project/likk/meta/RYY20191227B055_zhangyc/2nd/add_analysis/03.fishtaco/Z-N-new/species', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'multi_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': '/data_center_14/Project/likk/meta/RYY20191227B055_zhangyc/2nd/add_analysis/03.fishtaco/Z-N-new/ko00770.tab', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': '/data_center_14/Project/likk/meta/RYY20191227B055_zhangyc/2nd/add_analysis/03.fishtaco/Z-N-new/group', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
s__Odoribacter_splanchnicus	0.10487566340551875	0.01533591611817818	2.7760883751542687	0.005501725154324199	2.2595011091375046	0.0	0.0	1.0	1.0	s__Odoribacter_splanchnicus
s__Oscillibacter_sp_KLE_1728	0.002086926499667693	0.00856703878652854	-1.469693845669907	0.14164469029513674	-0.8487997008381654	0.0	0.0	0.0	0.0	s__Oscillibacter_sp_KLE_1728
s__Oscillibacter_sp_KLE_1745	0.00211264040255391	0.008637811329559233	-1.469693845669907	0.14164469029513674	-0.8487997008381654	0.0	0.0	0.0	0.0	s__Oscillibacter_sp_KLE_1745
s__Parabacteroides_merdae_CAG_48	0.06274659158348081	0.016442448409019223	2.6127890589687235	0.008980671241898814	2.0466912016669943	0.0	0.0	1.0	1.0	s__Parabacteroides_merdae_CAG_48
s__Parabacteroides_sp_2_1_7	0.007349904242525746	0.030390428669725168	-1.7146428199482247	0.0864107329737	-1.063432310973018	0.0	0.0	0.0	1.0	s__Parabacteroides_sp_2_1_7
s__Parabacteroides_sp_D25	0.006968811308123467	0.029726548103787463	-1.7146428199482247	0.0864107329737	-1.063432310973018	0.0	0.0	0.0	1.0	s__Parabacteroides_sp_D25
s__Paraprevotella_clara	0.04105298327659252	0.008288476575808616	2.5311394008759507	0.011369265340726933	1.9442675976496981	0.0	0.0	1.0	1.0	s__Paraprevotella_clara
s__Paraprevotella_clara_CAG_116	0.06010779495298529	0.0024490259457347653	2.6127890589687235	0.008980671241898814	2.0466912016669943	0.0	0.0	1.0	1.0	s__Paraprevotella_clara_CAG_116
s__Phascolarctobacterium_sp_CAG_207	0.0215974303243286	0.11657146098769404	-2.2861904265976327	0.022243120591349964	-1.6528042836128423	0.0	0.0	1.0	1.0	s__Phascolarctobacterium_sp_CAG_207
s__Prevotella_baroniae	0.0016169611792986151	0.008864216276039564	-2.7760883751542687	0.005501725154324199	-2.2595011091375046	0.0	0.0	1.0	1.0	s__Prevotella_baroniae
s__Prevotella_sp_KHD1	0.011249892132878657	0.003538040845451754	2.5311394008759507	0.011369265340726933	1.9442675976496981	0.0	0.0	1.0	1.0	s__Prevotella_sp_KHD1
s__Prevotella_stercorea	0.07172270411629071	0.0044165660849262225	3.021037349432586	0.00251910284534221	2.5987541015559383	0.0	0.0	1.0	1.0	s__Prevotella_stercorea
s__Ruminococcus_gnavus	0.021725965249942802	0.018923525910430544	-1.7962924780409972	0.07244801352978714	-1.1399735180586352	0.0	0.0	0.0	1.0	s__Ruminococcus_gnavus
s__Sutterella_sp_KLE1602	0.0027843457725107556	0.04128266578132031	-2.694438717061496	0.00705072911042274	-2.1517659706312204	0.0	0.0	1.0	1.0	s__Sutterella_sp_KLE1602
s__Sutterella_wadsworthensis	0.02182272885514121	0.04422954836651925	-2.2861904265976327	0.022243120591349964	-1.6528042836128423	0.0	0.0	1.0	1.0	s__Sutterella_wadsworthensis
s__Veillonella_parvula	0.0018592266555038743	0.006754532983097796	-2.3678400846904055	0.01789226761301928	-1.747334614747738	0.0	0.0	1.0	1.0	s__Veillonella_parvula
s__uncultured_Oscillibacter_sp	0.009279041513497155	0.033247882041949645	-1.469693845669907	0.14164469029513674	-0.8487997008381654	0.0	0.0	0.0	0.0	s__uncultured_Oscillibacter_sp
s__uncultured_Roseburia_sp	0.0018947117223383156	0.008591155894579688	-1.7146428199482247	0.0864107329737	-1.063432310973018	0.0	0.0	0.0	1.0	s__uncultured_Roseburia_sp
s__uncultured_phage_crAssphage	0.0004273852665553827	0.059816330688590234	-2.939387691339814	0.0032886143038479304	-2.482987058573556	0.0	0.0	1.0	1.0	s__uncultured_phage_crAssphage
